,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ivan,raquel,,adrián,,soni,,ale,,arturo,,andrés,,nati,,ame,,mariana,,janet,,juan,,tony,luis adrián
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jue 11 ,a,México,Sudafrica,mexico,mex,,Emp,,Méx,,mex,,Mex,,mex,,mex,,mex,,mex,,mex,,mex,,mex,méxico
,a,Corea del sur,Chequia,empate,cor,,Che,,Core,,cor,,emp,,cor,,cor,,che,,cor,,che,,cor,,che,chequia
vie 12,b,Canadá,B&H,canada,can,,B&h,,Can,,can,,canada,,emp,,can,,can,,can,,can,,can,,can,b&h
,d,Estados Unidos,Paraguay,empate,par,,Par,,Usa,,emp,,usa,,emp,,usa,,usa,,par,,usa,,usa,,emp,estados unidos
sab 13,b,Catar,Suiza,empate,cat,,Cat,,Sui,,sui,,suiza,,sui,,suiza,,cat,,suiza,,suiza,,suiza,,suiza,catar
,c,Brasil ,Marruecos,brasil,bra,,Bra,,Bra,,bra,,bra,,bra,,bra,,mar,,emp,,bra,,marr,,bra,brasil
,c,Haití,Escocia,escocia,esc,,Esc,,Esc,,esc,,escocia,,esc,,esc,,esc,,esc,,emp,,esc,,esc,escocia
,d,Australia ,Turquía,empate,emp,,Tur,,Aus ,,tur,,turquia,,emp,,aus,,emp,,turq,,emp,,emp,,emp,turquía
dom 14,e,Alemania,Curazao,alemania,ale,,Ale,,Ale,,ale,,alemania,,ale,,ale,,ale,,ale,,ale,,ale,,ale,alemania
,f,Países Bajos,Japón,paises bajos,emp,,P.b.,,P.b.,,jap,,paises bajos,,hol,,pb,,jap,,jap,,pb,,emp,,emp,países bajos
,e,Costa de Marfil,Ecuador,ecuador,ecu,,Emp,,Ecu ,,ecu,,ecuador,,ecu,,ecu,,ecu,,emp,,ecu,,emp,,cdm,costa de marfil
,f,Suecia,Túnez,suecia,emp,,Emp ,,Tun ,,emp,,empate,,sue,,sue,,sue,,swe,,emp,,swe,,swe,suecia
lun 15,h,España,Cabo Verde,españa,esp,,Espa ,,Espa ,,esp,,españa,,esp,,esp,,esp,,esp,,esp,,esp,,esp,españa
,g,Bélgica,Egipto,empate,emp,,Bel ,,Bel,,belg,,belgica,,bel,,bel,,egi,,bel,,egip,,bel,,bel,bélgica
,h,Arabia Saudí,Uruguay,uruguay,saud,,Emp ,,Uru ,,uru,,uruguay,,uru,,uru,,uru,,uru,,uru,,uru,,saud,uruguay
,g,Irán,Nueva Zelanda,iran,emp,,Irán,,Nz ,,emp,,iran,,ira,,nz,,ira,,irán,,irán,,nz,,irán,irán
mar 16,i,Francia,Senegal,francia,sen,,Fra ,,Fra ,,fran,,francia,,fra,,fra,,fra,,sen,,emp,,emp,,fra,senegal
,i,Irak,Noruega,noruega,emp,,Emp ,,Irak ,,nor,,noruega,,nor,,nor,,emp,,nor,,nor,,nor,,nor,noruega
,j,Argentina,Argelia,argentina,argt,,Arg ,,Arg ,,argt,,argentina,,arg,,,,arg,,emp,,arg,,arg,,arg,argelia
,j,Austria ,Jordania,austria,emp,,Emp ,,Aus ,,aus,,austria,,aus,,aus,,aus,,aus,,aus,,aus,,aus,austria
mier 17,k,Portugal,Congo,portugal,port,,Por ,,Por,,port,,portugal,,emp,,por,,con,,emp,,por,,por,,por,congo
,l,Inglaterra,Croacia,empate,croa,,Ing ,,Ing ,,ing,,empate,,ing,,ing,,ing,,emp,,cro,,cro,,emp,croacia
,l,Ghana ,Panamá,gahana,ghana,,Emp ,,Gan ,,emp,,gahana,,emp,,pan,,pan,,gha,,pan,,emp,,emp,ghana
,k,Uzbekistán,Colombia,colombia,col,,Emp,,Col ,,col,,colombia,,col,,col,,col,,col,,col,,col,,col,uzbekistán
jue 18,a,Chequia,Sudáfrica,sudafrica,emp,,Emp,,Sud ,,sud,,chequia,,che,,che,,che,,emp,,che,,sud,,sud,sudáfrica
,b,Suiza,B&H,suiza,boz,,B&h,,B&h,,sui,,suiza,,sui,,sui,,sui,,suiza,,emp,,emp,,emp,b&h
,b,Canadá,Catar,canada,emp,,Cat ,,Can ,,can,,canada,,can,,can,,can,,can,,can,,can,,can,catar
,a,México,Corea,mexico,mex,,Méx,,Méx,,emp,,mexico,,mex,,mex,,cor,,mex,,emp,,emp,,cor,méxico
vie 19,d,Estados Unidos,Australia,usa,usa,,Usa ,,Usa ,,usa,,usa,,usa,,aus,,aus,,emp,,usa,,emp,,aus,estados unidos
,c,Escocia,Marruecos,marruecos,marr,,Esc ,,Mar ,,mar,,marruecos,,mar,,esc,,mar,,marr,,emp,,esc,,marr,marruecos
,c,Brasil ,Haití,brasil,bra,,Bra ,,Bra,,bra,,brasil,,bra,,bra,,bra,,bra,,bra,,bra,,hai,brasil
,d,Turquía,Paraguay,paraguay,emp,,Par ,,Tur ,,tur,,turquia,,emp,,par,,par,,emp,,par,,tur,,tur,turquía
sab 20,f,Países Bajos,Suecia,suecia,p.b,,Emp ,,P.b.,,pb,,empate,,pb,,pb,,emp,,emp,,pb,,pb,,pb,suecia
,e,Alemania,Costa de Marfil,alemania,ale,,Ale,,Ale,,ale,,alemania,,ale,,ale,,ale,,emp,,ale,,ale,,ale,alemania
,e,Ecuador,Curazao,ecuador,ecu,,Ecu,,Ecu ,,ecu,,ecuador,,ecu,,ecu,,emp,,ecu,,emp,,ecu,,emp,ecuador
,f,Túnez,Japón,japon,jap,,Emp,,Jap,,jap,,japon,,jap,,jap,,jap,,jap,,jap,,jap,,jap,túnez
dom 21,h,España,Arabia Saudí,españa,emp,,Esp ,,Esp ,,esp,,españa,,esp,,esp,,esp,,esp,,esp,,esp,,esp,españa
,g,Bélgica,Irán,empate,emp,,Bel ,,Bel ,,belg,,belgica,,bel,,bel,,emp,,bel,,emp,,bel,,irán,irán
,h,Uruguay,Cabo Verde,uruguay,uru,,Uru ,,Uru ,,uru,,uruguay,,uru,,uru,,uru,,uru,,uru,,uru,,emp,cabo verde
,g,Nueva Zelanda ,Egipto,egipto,emp,,Emp ,,Egi ,,egip,,egipto,,emp,,nz,,egi,,egip,,egip,,emp,,egip,egipto
lun 22,j,Argentina,Austria,argentina,argt,,Arg ,,Arg ,,argt,,argentina,,arg,,arg,,arg,,arg,,arg,,emp,,emp,austria
,i,Francia,Irak,francia,emp,,Fra ,,Fra ,,fran,,francia,,fra,,fra,,fra,,fra,,fra,,fra,,fra,irak
,i,Noruega,Senegal,noruega,sen,,Sen ,,Sen ,,nor,,empate,,nor,,nor,,nor,,emp,,nor,,emp,,sen,senegal
,j,Jordania,Argelia,argelia,emp,,Emp ,,Jor ,,emp,,argelia,,emp,,jor,,emp,,arg,,arg,,arg,,arg,jordania
mar 23,k,Portugal,Uzbekistán,portugal,port,,Por,,Por ,,port,,portugal,,por,,por,,por,,por,,por,,por,,por,uzbekistán
